id,app,deadend_category,page,explanation,image_path,,parsed_elements,Coordinates
1,Udemy,Incorrect label,"Main, Course block, Course Introduction video page","The fold button on video has a label of ""navigate up"".",images/1_Udemy.png,,"Text Box ID 0: 10:09,Text Box ID 1: I,Text Box ID 2: A.,Text Box ID 3: CC,Text Box ID 4: Code,Text Box ID 5: EXPLORER,Text Box ID 6: HTML CSS Suppor,Text Box ID 7: hell,Text Box ID 8: JAVASCRIPT VIDEOS,Text Box ID 9: helloworld.htm,Text Box ID 10: > html >body >Qs,Text Box ID 11: > helloworld.html,Text Box ID 12: <!DOCTY,Text Box ID 13: <html,Text Box ID 14: 15,Text Box ID 15: <head>,Text Box ID 16: 4,Text Box ID 17: <me,Text Box ID 18: 5,Text Box ID 19: <me,Text Box ID 20: con,Text Box ID 21: 4:25,Text Box ID 22: 13:47,Icon Box ID 23: Search or magnifying glass.,Icon Box ID 24: a loading or progress bar.,Icon Box ID 25: Decrease,Icon Box ID 26: a loading or buffering indicator.,Icon Box ID 27: Undo,Icon Box ID 28: Cloud storage or cloud services.,Icon Box ID 29: Decrease,Icon Box ID 30: Expand to show more options,Icon Box ID 31: Edit,Icon Box ID 32: Selection.,Icon Box ID 33: Refresh or reload the page.,Icon Box ID 34: Copy,Icon Box ID 35: File,Icon Box ID 36: Run","{'0': [0.025, 0.0075, 0.0824074074074074, 0.014166666666666666], '1': [0.12685186598036025, 0.006249999205271403, 0.06018518518518518, 0.016666666666666666], '2': [0.18518518518518517, 0.008333334922790528, 0.03333333333333333, 0.0125], '3': [0.9175925360785591, 0.05000000635782877, 0.05092586941189236, 0.016666666666666666], '4': [0.06666666666666667, 0.3762499745686849, 0.04537037037037037, 0.007916666666666667], '5': [0.08703703703703704, 0.4091666666666667, 0.07777777777777778, 0.011666666666666667], '6': [0.7212962397822628, 0.41041664123535154, 0.16018518518518518, 0.010416666666666666], '7': [0.9601851851851851, 0.4116666666666667, 0.03518518518518519, 0.007083333333333333], '8': [0.0787037037037037, 0.425, 0.1648148148148148, 0.0125], '9': [0.6425925925925926, 0.4270833333333333, 0.12962962962962962, 0.010416666666666666], '10': [0.7768518518518519, 0.425, 0.2212962962962963, 0.013333333333333334], '11': [0.08703702997278284, 0.4395833333333333, 0.1425925925925926, 0.01125], '12': [0.7898148148148149, 0.445, 0.19444444444444445, 0.018333333333333333], '13': [0.7925926491066262, 0.475, 0.1583333898473669, 0.021666666666666667], '14': [0.6638888888888889, 0.49458338419596354, 0.06111111111111111, 0.015], '15': [0.7944444444444444, 0.50625, 0.16944444444444445, 0.022083333333333333], '16': [0.737037037037037, 0.5395832824707031, 0.025925925925925925, 0.01875], '17': [0.9101851851851852, 0.5383333333333333, 0.08518518518518518, 0.0225], '18': [0.7342592592592593, 0.56875, 0.03148148148148148, 0.022083333333333333], '19': [0.9111111111111111, 0.5729166666666666, 0.08703703703703704, 0.01875], '20': [0.9083333333333333, 0.6041666666666666, 0.08981481481481482, 0.01875], '21': [0.03796296296296296, 0.93, 0.06944444444444445, 0.019166666666666665], '22': [0.7972222222222223, 0.9325, 0.09074074074074075, 0.015416666666666667], '23': [0.0, 0.6352650960286458, 1.0, 0.28256368001302085], '24': [0.3666045860007957, 0.987074483235677, 0.26532550387912324, 0.012651774088541666], '25': [0.8265683774594907, 0.0, 0.10984180591724536, 0.026251471837361654], '26': [0.316888427734375, 0.9283687337239583, 0.04833017985026042, 0.020865071614583335], '27': [0.9100300541630497, 0.9261655680338542, 0.0646791246202257, 0.024047444661458334], '28': [0.2330866778338397, 0.0025427985191345216, 0.03422704626012731, 0.02230886459350586], '29': [0.46072842633282696, 0.4769769287109375, 0.08832767627857349, 0.044923197428385415], '30': [0.04090090151186342, 0.04591490427652995, 0.04835224858036748, 0.0246710205078125], '31': [0.18889165807653358, 0.37327039082845054, 0.03872355708369502, 0.014128977457682292], '32': [0.25010192305953416, 0.37317240397135415, 0.07422044542100695, 0.014116261800130208], '33': [0.2641179402669271, 0.48146255493164064, 0.07732996057581018, 0.03762908935546875], '34': [0.0018982216163917823, 0.40678639729817706, 0.0519838015238444, 0.024385833740234376], '35': [0.13655324865270543, 0.37345352172851565, 0.03407886646412037, 0.013380482991536458], '36': [0.4625296698676215, 0.3733019002278646, 0.03689043963396991, 0.013931935628255208]}"
2,Udemy,Incorrect label,"Main, Course block, Curriculum, Section",Folded section blocks are unlabelled,images/2_Udemy.png,,,
3,Udemy,Incorrect navigation,"Main, Browse, Account, Sign in, X","When trying to close the sign in pop up, the app closes.",images/3_Udemy.png,,,
4,TED,Incorrect navigation,"Main, Browse, Sorting button",TalkBack does not navigate to the sorting button.,images/4_Ted.png,,,
5,TED,Incorrect navigation,"Main, Podcast","When podcast window layer appears, it navigates to the elements behind the layer",images/5_Ted.png,,,
6,Duolingo,Incorrect label,"Main, Flag","When pressing Flag button, it reads misleading label",images/6_Duolingo.png,,,
7,Duolingo,Incorrect label,"Main, Heart","When pressing heart button, it reads gems instead.",images/7_Duolingo.png,,,
8,Duolingo,Incorrect label,"Main, Section, X",Unlabelled X button.,images/8_Duolingo.png,,,
9,Duolingo,Incorrect navigation,"Main, News tab","When navigating till the end, it does not go back to the first element, rather it only looks into the element inside current window",images/9_Duolingo.png,,,
10,Duolingo,Incorrect label,"Main, Account tab, Share, X",The X button is unlabelled.,images/10_Duolingo.png,,,
11,Duolingo,Incorrect navigation,"Main, Account tab, Statistics, Total XP","From Statistics block, only ""Day streak"" is accessible with TalkBack.",images/11_Duolingo.png,,,
12,Duolingo,Incorrect navigation,"Main, Locked Practice button","When clicking locked practice button, it shows a pop up which is inaccessible and has no clue on how to close.",images/12_Duolingo.png,,,
13,Duolingo,Incorrect navigation,"Main, Unlocked practice button","When clicking unlocked practice button, it shows a pop up which is inaccessible and has no clue on how to close.",images/13_Duolingo.png,,,
14,Pinterest,Incorrect label,"Main, Holiday finds","Wrong label on ""Holiday finds"" tab",images/14_Pinterest.png,,,
15,Pinterest,Incorrect navigation,"Main, Your privacy matters, X",TalkBack does not navigate to X button in privacy block,images/15_Pinterest.png,,,
16,Pinterest,Incorrect navigation,"Main, Any photo, Detail info, See more","TalkBack does not navigate to the ""See more"" button",images/16_Pinterest.png,,,
17,Pinterest,Incorrect navigation,"Main, Saved, Username profile",Follwers and following block is inaccessible,images/17_Pinterest.png,,,
18,United Airlines,Incorrect navigation,"Main, Wi-Fi & entertainment","TalkBack does not navigate to the sections between ""Before your flight"" and ""Frequently asked questions""",images/18_United.png,,,
19,United Airlines,Incorrect navigation,"Main, Join MileagePlus, Title, Dropdown",No information on how to close the dropdown,images/19_United.png,,,
20,United Airlines,Incorrect navigation,"Main, Join MileagePlus, Title",Cannot open Title dropdown without navigating to the next button,images/20_United.png,,,
21,Grants.gov,Incorrect navigation,"Main, Quick Search","When focused on ""Quick Search"" text, it says double tap to activate. However, nothing happens when tapped",images/21_Grants.gov.png,,,
22,Grants.gov,Incorrect navigation,"Main, Register at Grants.gov","The ""Grants.gov"" link is unclickable, making it impossible to register",images/22_Grants.gov.png,,,
23,Grants.gov,Incorrect navigation,"Main, Privacy","The ""Read more"" link is unclickable",images/23_Grants.gov.png,,,
24,Grants.gov,Incorrect navigation,"Main, Youtube icon, Back gesture","After being directed to Youtube link, when back gesture is done, it leads to Youtube main page, instead of the actual previous page",images/24_Grants.gov.png,,,
25,TEMU,Incorrect navigation,"Main, Continue with Google, Captcha",Unable to solve Captcha,images/25_Temu.png,,,
26,TEMU,Incorrect navigation,"Main, Price adjustment / Delivery guarantee block","When focused on this block, and the transition occurs, the focus moves to the search box",images/26_Temu.png,,,
27,TEMU,Incorrect navigation,"Main, Item, Qty, number","When number is clicked in Qty, it opens a pop up for selecting numbers. However TalkBack keeps its focus on the previous screen layer",images/27_Temu.png,,,
28,TEMU,Incorrect navigation,"Main, Item, Free shipping","When ""Free shipping"" is clicked, it opens a pop up with information. However TalkBack keeps its focus on the previous screen layer",images/28_Temu.png,,,
29,TEMU,Incorrect navigation,"Main, Category","When navigating next element from the < button, it navigates to items instead of the actual next element.",images/29_Temu.png,,,
30,TEMU,Incorrect navigation,"Main, You, Browsing history, Item block, Add to cart button","When clicking the larger add-to-cart button, it responds nothing",images/30_Temu.png,,,
